, dataset,wav_filename,start_time_s,duration_s,location,date,pst_or_master_tape_identifier,Id,Expected
0,podcast_round1,60012.wav,0.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav0,0.0
1,podcast_round1,60012.wav,1.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav1,0.0
2,podcast_round1,60012.wav,2.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav2,0.0
3,podcast_round1,60012.wav,3.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav3,0.0
4,podcast_round1,60012.wav,4.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav4,0.0
5,podcast_round1,60012.wav,5.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav5,0.0
6,podcast_round1,60012.wav,6.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav6,0.0
7,podcast_round1,60012.wav,7.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav7,0.0
8,podcast_round1,60012.wav,8.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav8,0.0
9,podcast_round1,60012.wav,9.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav9,0.0
10,podcast_round1,60012.wav,10.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav10,0.0
11,podcast_round1,60012.wav,11.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav11,0.0
12,podcast_round1,60012.wav,12.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav12,0.0
13,podcast_round1,60012.wav,13.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav13,0.0
14,podcast_round1,60012.wav,14.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav14,0.0
15,podcast_round1,60012.wav,15.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav15,0.0
16,podcast_round1,60012.wav,16.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav16,0.0
17,podcast_round1,60012.wav,17.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav17,0.0
18,podcast_round1,60012.wav,18.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav18,0.0
19,podcast_round1,60012.wav,19.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav19,0.0
20,podcast_round1,60012.wav,20.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav20,0.0
21,podcast_round1,60012.wav,21.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav21,0.0
22,podcast_round1,60012.wav,22.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav22,0.0
23,podcast_round1,60012.wav,23.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav23,0.0
24,podcast_round1,60012.wav,24.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav24,0.0
25,podcast_round1,60012.wav,25.0,1.0,"Dabob Bay, Seattle, Washington",1960-10-28,60012,60012.wav25,0.0
